table_name,constraint_name,constraint_type,column_name,foreign_table,foreign_column,check_clause
block_list,35901_112106_1_not_null,CHECK,null,null,null,blockid IS NOT NULL
block_list,35901_112106_2_not_null,CHECK,null,null,null,targettype IS NOT NULL
block_list,35901_112106_3_not_null,CHECK,null,null,null,targetid IS NOT NULL
block_list,35901_112106_4_not_null,CHECK,null,null,null,blocked_userid IS NOT NULL
block_list,35901_112106_5_not_null,CHECK,null,null,null,blocked_by_userid IS NOT NULL
block_list,35901_112106_6_not_null,CHECK,null,null,null,blocked_at IS NOT NULL
block_list,block_list_blocked_by_userid_fkey,FOREIGN KEY,blocked_by_userid,users,userid,null
block_list,block_list_blocked_userid_fkey,FOREIGN KEY,blocked_userid,users,userid,null
block_list,block_list_pkey,PRIMARY KEY,blockid,null,null,null
block_list,block_list_unique,UNIQUE,blocked_userid,null,null,null
block_list,block_list_unique,UNIQUE,targettype,null,null,null
block_list,block_list_unique,UNIQUE,targetid,null,null,null
court_schedule_rules,35901_140810_10_not_null,CHECK,null,null,null,created_at IS NOT NULL
court_schedule_rules,35901_140810_1_not_null,CHECK,null,null,null,schedule_rule_id IS NOT NULL
court_schedule_rules,35901_140810_2_not_null,CHECK,null,null,null,courtid IS NOT NULL
court_schedule_rules,35901_140810_4_not_null,CHECK,null,null,null,day_of_week IS NOT NULL
court_schedule_rules,35901_140810_5_not_null,CHECK,null,null,null,valid_from IS NOT NULL
court_schedule_rules,35901_140810_7_not_null,CHECK,null,null,null,start_time IS NOT NULL
court_schedule_rules,35901_140810_8_not_null,CHECK,null,null,null,end_time IS NOT NULL
court_schedule_rules,35901_140810_9_not_null,CHECK,null,null,null,is_available IS NOT NULL
court_schedule_rules,court_schedule_rules_day_of_week_check,CHECK,null,null,null,((day_of_week >= 0) AND (day_of_week <= 6))
court_schedule_rules,court_schedule_rules_courtid_fkey,FOREIGN KEY,courtid,courts,courtid,null
court_schedule_rules,court_schedule_rules_playingcourtid_fkey,FOREIGN KEY,playingcourtid,playingcourt,playingcourtid,null
court_schedule_rules,court_schedule_rules_pkey,PRIMARY KEY,schedule_rule_id,null,null,null
courtavailability,35901_36042_10_not_null,CHECK,null,null,null,end_time IS NOT NULL
courtavailability,35901_36042_16_not_null,CHECK,null,null,null,booking_date IS NOT NULL
courtavailability,35901_36042_1_not_null,CHECK,null,null,null,availabilityid IS NOT NULL
courtavailability,35901_36042_2_not_null,CHECK,null,null,null,courtid IS NOT NULL
courtavailability,35901_36042_5_not_null,CHECK,null,null,null,status IS NOT NULL
courtavailability,35901_36042_9_not_null,CHECK,null,null,null,start_time IS NOT NULL
courtavailability,courtavailability_courtid_fkey,FOREIGN KEY,courtid,courts,courtid,null
courtavailability,courtavailability_playingcourtid_fk,FOREIGN KEY,playingcourtid,playingcourt,playingcourtid,null
courtavailability,courtavailability_pkey,PRIMARY KEY,availabilityid,null,null,null
courtbooking,35901_36054_10_not_null,CHECK,null,null,null,bookingstatus IS NOT NULL
courtbooking,35901_36054_1_not_null,CHECK,null,null,null,courtbookingid IS NOT NULL
courtbooking,35901_36054_2_not_null,CHECK,null,null,null,availabilityid IS NOT NULL
courtbooking,35901_36054_3_not_null,CHECK,null,null,null,userid IS NOT NULL
courtbooking,35901_36054_4_not_null,CHECK,null,null,null,status IS NOT NULL
courtbooking,35901_36054_6_not_null,CHECK,null,null,null,start_timestamp IS NOT NULL
courtbooking,35901_36054_7_not_null,CHECK,null,null,null,end_timestamp IS NOT NULL
courtbooking,35901_36054_8_not_null,CHECK,null,null,null,bookingdate IS NOT NULL
courtbooking,courtbooking_duration_chk,CHECK,null,null,null,((duration_minutes IS NULL) OR ((duration_minutes >= 60) AND (duration_minutes <= 180)))
courtbooking,courtbooking_selected_part_chk,CHECK,null,null,null,"((selected_part IS NULL) OR (selected_part = ANY (ARRAY['full'::text, 'half_a'::text, 'half_b'::text])))"
courtbooking,courtbooking_time_range,CHECK,null,null,null,(end_timestamp > start_timestamp)
courtbooking,courtbooking_time_valid_chk,CHECK,null,null,null,(end_timestamp > start_timestamp)
courtbooking,courtbooking_availabilityid_fkey,FOREIGN KEY,availabilityid,courtavailability,availabilityid,null
courtbooking,courtbooking_paymentid_fkey,FOREIGN KEY,paymentid,payments,paymentid,null
courtbooking,courtbooking_playingcourtid_fkey,FOREIGN KEY,playingcourtid,playingcourt,playingcourtid,null
courtbooking,courtbooking_userid_fkey,FOREIGN KEY,userid,users,userid,null
courtbooking,courtbooking_pkey,PRIMARY KEY,courtbookingid,null,null,null
