schemaname,tablename,indexname,indexdef
public,block_list,block_list_blocked_user_idx,CREATE INDEX block_list_blocked_user_idx ON public.block_list USING btree (blocked_userid)
public,block_list,block_list_pkey,CREATE UNIQUE INDEX block_list_pkey ON public.block_list USING btree (blockid)
public,block_list,block_list_target_idx,"CREATE INDEX block_list_target_idx ON public.block_list USING btree (targettype, targetid)"
public,block_list,block_list_unique,"CREATE UNIQUE INDEX block_list_unique ON public.block_list USING btree (targettype, targetid, blocked_userid)"
public,block_list,idx_block_list_blocked_by_userid,CREATE INDEX idx_block_list_blocked_by_userid ON public.block_list USING btree (blocked_by_userid)
public,block_list,idx_block_list_blocked_userid,CREATE INDEX idx_block_list_blocked_userid ON public.block_list USING btree (blocked_userid)
public,court_schedule_rules,court_schedule_rules_pkey,CREATE UNIQUE INDEX court_schedule_rules_pkey ON public.court_schedule_rules USING btree (schedule_rule_id)
public,court_schedule_rules,idx_court_schedule_rules_lookup,"CREATE INDEX idx_court_schedule_rules_lookup ON public.court_schedule_rules USING btree (courtid, playingcourtid, day_of_week, valid_from, valid_to)"
public,courtavailability,courtavailability_pkey,CREATE UNIQUE INDEX courtavailability_pkey ON public.courtavailability USING btree (availabilityid)
public,courtavailability,idx_courtavailability_booking_date_gin,CREATE INDEX idx_courtavailability_booking_date_gin ON public.courtavailability USING gin (booking_date)
public,courtavailability,idx_courtavailability_courtid,CREATE INDEX idx_courtavailability_courtid ON public.courtavailability USING btree (courtid)
public,courtavailability,idx_courtavailability_courtid_booking_date_text,"CREATE INDEX idx_courtavailability_courtid_booking_date_text ON public.courtavailability USING btree (courtid, ((booking_date #>> '{}'::text[])), availabilityid)"
public,courtavailability,idx_courtavailability_courtid_playingcourtid,"CREATE INDEX idx_courtavailability_courtid_playingcourtid ON public.courtavailability USING btree (courtid, playingcourtid)"
public,courtavailability,idx_courtavailability_playingcourtid,CREATE INDEX idx_courtavailability_playingcourtid ON public.courtavailability USING btree (playingcourtid)
public,courtbooking,courtbooking_no_overlap_excl,"CREATE INDEX courtbooking_no_overlap_excl ON public.courtbooking USING gist (playingcourtid, tsrange(start_timestamp, end_timestamp, '[)'::text)) WHERE ((playingcourtid IS NOT NULL) AND (bookingstatus = 'upcoming'::sessionstatus))"
public,courtbooking,courtbooking_pkey,CREATE UNIQUE INDEX courtbooking_pkey ON public.courtbooking USING btree (courtbookingid)
public,courtbooking,idx_courtbooking_availabilityid,CREATE INDEX idx_courtbooking_availabilityid ON public.courtbooking USING btree (availabilityid)
public,courtbooking,idx_courtbooking_bookingstatus,CREATE INDEX idx_courtbooking_bookingstatus ON public.courtbooking USING btree (bookingstatus)
public,courtbooking,idx_courtbooking_end_timestamp,CREATE INDEX idx_courtbooking_end_timestamp ON public.courtbooking USING btree (end_timestamp)
public,courtbooking,idx_courtbooking_paymentid,CREATE INDEX idx_courtbooking_paymentid ON public.courtbooking USING btree (paymentid)
public,courtbooking,idx_courtbooking_playingcourtid,CREATE INDEX idx_courtbooking_playingcourtid ON public.courtbooking USING btree (playingcourtid)
public,courtbooking,idx_courtbooking_review_gate,"CREATE INDEX idx_courtbooking_review_gate ON public.courtbooking USING btree (userid, availabilityid, status) WHERE (bookingstatus = 'completed'::sessionstatus)"
public,courtbooking,idx_courtbooking_start_timestamp,CREATE INDEX idx_courtbooking_start_timestamp ON public.courtbooking USING btree (start_timestamp)
public,courtbooking,idx_courtbooking_status,CREATE INDEX idx_courtbooking_status ON public.courtbooking USING btree (status)
public,courtbooking,idx_courtbooking_timestamps_range,"CREATE INDEX idx_courtbooking_timestamps_range ON public.courtbooking USING btree (start_timestamp, end_timestamp)"
public,courtbooking,idx_courtbooking_upcoming_by_user,"CREATE INDEX idx_courtbooking_upcoming_by_user ON public.courtbooking USING btree (userid, start_timestamp) WHERE (bookingstatus = 'upcoming'::sessionstatus)"
public,courtbooking,idx_courtbooking_user_lifecycle,"CREATE INDEX idx_courtbooking_user_lifecycle ON public.courtbooking USING btree (userid, bookingstatus, start_timestamp DESC)"
public,courtbooking,idx_courtbooking_userid,CREATE INDEX idx_courtbooking_userid ON public.courtbooking USING btree (userid)
public,courtinfo,courtinfo_pkey,CREATE UNIQUE INDEX courtinfo_pkey ON public.courtinfo USING btree (courtinfoid)
public,courtinfo,idx_courtinfo_courtid,CREATE INDEX idx_courtinfo_courtid ON public.courtinfo USING btree (courtid)
public,courtinfo,idx_courtinfo_geog_gist,"CREATE INDEX idx_courtinfo_geog_gist ON public.courtinfo USING gist (geography(st_setsrid(st_makepoint(longitude, latitude), 4326))) WHERE ((latitude IS NOT NULL) AND (longitude IS NOT NULL))"
public,courtinfo,idx_courtinfo_geom_gist,"CREATE INDEX idx_courtinfo_geom_gist ON public.courtinfo USING gist (st_setsrid(st_makepoint(longitude, latitude), 4326)) WHERE ((latitude IS NOT NULL) AND (longitude IS NOT NULL))"
public,courtinfo,idx_courtinfo_lat_lng,"CREATE INDEX idx_courtinfo_lat_lng ON public.courtinfo USING btree (latitude, longitude)"
public,courts,courts_pkey,CREATE UNIQUE INDEX courts_pkey ON public.courts USING btree (courtid)
public,courts,idx_courts_ownerid,CREATE INDEX idx_courts_ownerid ON public.courts USING btree (ownerid)
public,courts,idx_courts_status,CREATE INDEX idx_courts_status ON public.courts USING btree (status)
public,eventbooking,eventbooking_pkey,CREATE UNIQUE INDEX eventbooking_pkey ON public.eventbooking USING btree (eventbookingid)
public,eventbooking,idx_eventbooking_bookingstatus,CREATE INDEX idx_eventbooking_bookingstatus ON public.eventbooking USING btree (bookingstatus)
