table_name,col_order,column_name,data_type,udt_name,character_maximum_length,is_nullable,column_default,is_identity,identity_generation
block_list,1,blockid,integer,int4,null,NO,null,YES,BY DEFAULT
block_list,2,targettype,USER-DEFINED,block_target_type,null,NO,null,NO,null
block_list,3,targetid,integer,int4,null,NO,null,NO,null
block_list,4,blocked_userid,integer,int4,null,NO,null,NO,null
block_list,5,blocked_by_userid,integer,int4,null,NO,null,NO,null
block_list,6,blocked_at,timestamp with time zone,timestamptz,null,NO,now(),NO,null
court_schedule_rules,1,schedule_rule_id,bigint,int8,null,NO,null,YES,BY DEFAULT
court_schedule_rules,2,courtid,integer,int4,null,NO,null,NO,null
court_schedule_rules,3,playingcourtid,bigint,int8,null,YES,null,NO,null
court_schedule_rules,4,day_of_week,smallint,int2,null,NO,null,NO,null
court_schedule_rules,5,valid_from,date,date,null,NO,null,NO,null
court_schedule_rules,6,valid_to,date,date,null,YES,null,NO,null
court_schedule_rules,7,start_time,time without time zone,time,null,NO,null,NO,null
court_schedule_rules,8,end_time,time without time zone,time,null,NO,null,NO,null
court_schedule_rules,9,is_available,boolean,bool,null,NO,true,NO,null
court_schedule_rules,10,created_at,timestamp with time zone,timestamptz,null,NO,now(),NO,null
courtavailability,1,availabilityid,integer,int4,null,NO,null,YES,BY DEFAULT
courtavailability,2,courtid,integer,int4,null,NO,null,NO,null
courtavailability,5,status,USER-DEFINED,availabilitystatus,null,NO,null,NO,null
courtavailability,9,start_time,time without time zone,time,null,NO,null,NO,null
courtavailability,10,end_time,time without time zone,time,null,NO,null,NO,null
courtavailability,16,booking_date,jsonb,jsonb,null,NO,null,NO,null
courtavailability,17,playingcourtid,bigint,int8,null,YES,null,NO,null
courtbooking,1,courtbookingid,integer,int4,null,NO,null,YES,BY DEFAULT
courtbooking,2,availabilityid,integer,int4,null,NO,null,NO,null
courtbooking,3,userid,integer,int4,null,NO,null,NO,null
courtbooking,4,status,USER-DEFINED,courtbookingstatus,null,NO,null,NO,null
courtbooking,5,paymentid,integer,int4,null,YES,null,NO,null
courtbooking,6,start_timestamp,timestamp without time zone,timestamp,null,NO,null,NO,null
courtbooking,7,end_timestamp,timestamp without time zone,timestamp,null,NO,null,NO,null
courtbooking,8,bookingdate,date,date,null,NO,null,NO,null
courtbooking,9,note,text,text,null,YES,null,NO,null
courtbooking,10,bookingstatus,USER-DEFINED,sessionstatus,null,NO,'upcoming'::sessionstatus,NO,null
courtbooking,11,playingcourtid,bigint,int8,null,YES,null,NO,null
courtbooking,12,selected_court_name,text,text,null,YES,null,NO,null
courtbooking,13,selected_base_name,text,text,null,YES,null,NO,null
