table_name,rls_enabled,rls_forced,estimated_row_count,total_size
block_list,false,false,-1,88 kB
court_schedule_rules,false,false,-1,16 kB
courtavailability,false,false,223,208 kB
courtbooking,false,false,8,264 kB
courtinfo,false,false,35,128 kB
courts,false,false,38,96 kB
eventbooking,false,false,0,144 kB
eventinfo,false,false,3,64 kB
events,false,false,3,96 kB
favouritecourts,false,false,24,104 kB
notifications,false,false,0,120 kB
payments,false,false,41,56 kB
playingcourt,false,false,228,256 kB
playingcourtinfo,false,false,222,96 kB
review_reactions,false,false,-1,48 kB
reviews,false,false,-1,32 kB
servicebooking,false,false,1,80 kB
services,false,false,151,96 kB
spatial_ref_sys,false,false,8500,7144 kB
trainingsessioninfo,false,false,0,64 kB
trainingsessions,false,false,0,96 kB
tsbookings,false,false,-1,128 kB
unverified_users,false,false,7,144 kB
user_auth_providers,false,false,20,80 kB
user_devices,false,false,-1,64 kB
user_tokens,false,false,247,320 kB
userinfo,false,false,27,112 kB
userlogin,true,false,17,96 kB
users,false,false,22,64 kB
