tablename,indexname,indexdef
block_list,block_list_blocked_user_idx,CREATE INDEX block_list_blocked_user_idx ON public.block_list USING btree (blocked_userid)
block_list,block_list_pkey,CREATE UNIQUE INDEX block_list_pkey ON public.block_list USING btree (blockid)
block_list,block_list_target_idx,"CREATE INDEX block_list_target_idx ON public.block_list USING btree (targettype, targetid)"
block_list,block_list_unique,"CREATE UNIQUE INDEX block_list_unique ON public.block_list USING btree (targettype, targetid, blocked_userid)"
block_list,idx_block_list_blocked_by_userid,CREATE INDEX idx_block_list_blocked_by_userid ON public.block_list USING btree (blocked_by_userid)
block_list,idx_block_list_blocked_userid,CREATE INDEX idx_block_list_blocked_userid ON public.block_list USING btree (blocked_userid)
court_schedule_rules,court_schedule_rules_pkey,CREATE UNIQUE INDEX court_schedule_rules_pkey ON public.court_schedule_rules USING btree (schedule_rule_id)
court_schedule_rules,idx_court_schedule_rules_lookup,"CREATE INDEX idx_court_schedule_rules_lookup ON public.court_schedule_rules USING btree (courtid, playingcourtid, day_of_week, valid_from, valid_to)"
courtavailability,courtavailability_pkey,CREATE UNIQUE INDEX courtavailability_pkey ON public.courtavailability USING btree (availabilityid)
courtavailability,idx_courtavailability_booking_date_gin,CREATE INDEX idx_courtavailability_booking_date_gin ON public.courtavailability USING gin (booking_date)
courtavailability,idx_courtavailability_courtid,CREATE INDEX idx_courtavailability_courtid ON public.courtavailability USING btree (courtid)
courtavailability,idx_courtavailability_playingcourtid,CREATE INDEX idx_courtavailability_playingcourtid ON public.courtavailability USING btree (playingcourtid)
courtbooking,courtbooking_no_overlap_excl,"CREATE INDEX courtbooking_no_overlap_excl ON public.courtbooking USING gist (playingcourtid, tsrange(start_timestamp, end_timestamp, '[)'::text)) WHERE ((playingcourtid IS NOT NULL) AND (bookingstatus = 'upcoming'::sessionstatus))"
courtbooking,courtbooking_pkey,CREATE UNIQUE INDEX courtbooking_pkey ON public.courtbooking USING btree (courtbookingid)
courtbooking,idx_courtbooking_availabilityid,CREATE INDEX idx_courtbooking_availabilityid ON public.courtbooking USING btree (availabilityid)
courtbooking,idx_courtbooking_bookingstatus,CREATE INDEX idx_courtbooking_bookingstatus ON public.courtbooking USING btree (bookingstatus)
courtbooking,idx_courtbooking_end_timestamp,CREATE INDEX idx_courtbooking_end_timestamp ON public.courtbooking USING btree (end_timestamp)
courtbooking,idx_courtbooking_paymentid,CREATE INDEX idx_courtbooking_paymentid ON public.courtbooking USING btree (paymentid)
courtbooking,idx_courtbooking_playingcourtid,CREATE INDEX idx_courtbooking_playingcourtid ON public.courtbooking USING btree (playingcourtid)
courtbooking,idx_courtbooking_start_timestamp,CREATE INDEX idx_courtbooking_start_timestamp ON public.courtbooking USING btree (start_timestamp)
courtbooking,idx_courtbooking_status,CREATE INDEX idx_courtbooking_status ON public.courtbooking USING btree (status)
courtbooking,idx_courtbooking_timestamps_range,"CREATE INDEX idx_courtbooking_timestamps_range ON public.courtbooking USING btree (start_timestamp, end_timestamp)"
courtbooking,idx_courtbooking_upcoming_by_user,"CREATE INDEX idx_courtbooking_upcoming_by_user ON public.courtbooking USING btree (userid, start_timestamp) WHERE (bookingstatus = 'upcoming'::sessionstatus)"
courtbooking,idx_courtbooking_userid,CREATE INDEX idx_courtbooking_userid ON public.courtbooking USING btree (userid)
courtinfo,courtinfo_pkey,CREATE UNIQUE INDEX courtinfo_pkey ON public.courtinfo USING btree (courtinfoid)
courtinfo,idx_courtinfo_courtid,CREATE INDEX idx_courtinfo_courtid ON public.courtinfo USING btree (courtid)
courtinfo,idx_courtinfo_lat_lng,"CREATE INDEX idx_courtinfo_lat_lng ON public.courtinfo USING btree (latitude, longitude)"
courts,courts_pkey,CREATE UNIQUE INDEX courts_pkey ON public.courts USING btree (courtid)
courts,idx_courts_ownerid,CREATE INDEX idx_courts_ownerid ON public.courts USING btree (ownerid)
courts,idx_courts_status,CREATE INDEX idx_courts_status ON public.courts USING btree (status)
eventbooking,eventbooking_pkey,CREATE UNIQUE INDEX eventbooking_pkey ON public.eventbooking USING btree (eventbookingid)
eventbooking,idx_eventbooking_bookingstatus,CREATE INDEX idx_eventbooking_bookingstatus ON public.eventbooking USING btree (bookingstatus)
eventbooking,idx_eventbooking_eventid,CREATE INDEX idx_eventbooking_eventid ON public.eventbooking USING btree (eventid)
eventbooking,idx_eventbooking_paymentid,CREATE INDEX idx_eventbooking_paymentid ON public.eventbooking USING btree (paymentid)
eventbooking,idx_eventbooking_upcoming_by_user,CREATE INDEX idx_eventbooking_upcoming_by_user ON public.eventbooking USING btree (userid) WHERE (bookingstatus = 'upcoming'::sessionstatus)
eventbooking,idx_eventbooking_userid,CREATE INDEX idx_eventbooking_userid ON public.eventbooking USING btree (userid)
eventinfo,eventinfo_pkey,CREATE UNIQUE INDEX eventinfo_pkey ON public.eventinfo USING btree (eventinfoid)
eventinfo,idx_eventinfo_eventid,CREATE INDEX idx_eventinfo_eventid ON public.eventinfo USING btree (eventid)
events,events_courtbookingid_key,CREATE UNIQUE INDEX events_courtbookingid_key ON public.events USING btree (courtbookingid)
events,events_pkey,CREATE UNIQUE INDEX events_pkey ON public.events USING btree (eventid)
events,idx_events_organizerid,CREATE INDEX idx_events_organizerid ON public.events USING btree (organizerid)
events,idx_events_status,CREATE INDEX idx_events_status ON public.events USING btree (status)
favouritecourts,favouritecourts_pkey,CREATE UNIQUE INDEX favouritecourts_pkey ON public.favouritecourts USING btree (favouriteid)
favouritecourts,idx_favouritecourts_courtid,CREATE INDEX idx_favouritecourts_courtid ON public.favouritecourts USING btree (courtid)
favouritecourts,idx_favouritecourts_userid,CREATE INDEX idx_favouritecourts_userid ON public.favouritecourts USING btree (userid)
favouritecourts,uc_usercourt,"CREATE UNIQUE INDEX uc_usercourt ON public.favouritecourts USING btree (userid, courtid)"
notifications,idx_notifications_userid,CREATE INDEX idx_notifications_userid ON public.notifications USING btree (userid)
notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (notificationid)
notifications,notifications_user_category_time_idx,"CREATE INDEX notifications_user_category_time_idx ON public.notifications USING btree (userid, category, ""time"" DESC)"
notifications,notifications_user_status_time_idx,"CREATE INDEX notifications_user_status_time_idx ON public.notifications USING btree (userid, status, ""time"" DESC)"
notifications,notifications_user_time_idx,"CREATE INDEX notifications_user_time_idx ON public.notifications USING btree (userid, ""time"" DESC)"
payments,payments_pkey,CREATE UNIQUE INDEX payments_pkey ON public.payments USING btree (paymentid)
