availabilityid,courtid,status,start_time,end_time,booking_date
1,101,available,08:00,16:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""]"
2,102,available,09:00,17:00,"[""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
3,103,available,08:00,14:00,"[""Mon"", ""Wed"", ""Fri""]"
4,104,available,07:00,15:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu""]"
5,105,available,10:00,18:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
6,106,available,08:30,15:30,"[""Wed"", ""Thu"", ""Fri"", ""Sat""]"
7,107,available,07:30,14:30,"[""Mon"", ""Tue"", ""Sat""]"
8,108,available,11:00,17:00,"[""Thu"", ""Fri"", ""Sat"", ""Sun""]"
9,109,available,08:00,13:00,"[""Tue"", ""Wed"", ""Thu""]"
10,110,available,12:00,20:00,"[""Mon"", ""Tue"", ""Wed"", ""Fri"", ""Sat""]"
11,111,available,06:00,12:00,"[""Mon"", ""Thu"", ""Fri""]"
12,112,available,13:00,19:00,"[""Wed"", ""Fri"", ""Sat"", ""Sun""]"
13,113,available,07:00,17:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
14,114,available,09:00,15:00,"[""Mon"", ""Wed"", ""Fri""]"
15,115,available,08:00,18:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""]"
16,116,available,07:30,16:30,"[""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
17,117,available,09:00,14:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu""]"
18,118,available,10:00,17:00,"[""Wed"", ""Thu"", ""Fri"", ""Sat""]"
19,119,available,08:00,15:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
20,120,available,09:30,18:30,"[""Thu"", ""Fri"", ""Sat"", ""Sun""]"
21,121,available,07:00,12:00,"[""Tue"", ""Wed"", ""Thu""]"
22,122,available,11:00,18:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""]"
23,123,available,08:30,16:30,"[""Mon"", ""Tue"", ""Wed"", ""Fri"", ""Sat""]"
24,124,available,09:00,19:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""]"
25,125,available,08:00,14:00,"[""Mon"", ""Wed"", ""Fri""]"
26,126,available,10:00,16:00,"[""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
27,127,available,07:00,13:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu""]"
28,128,available,12:00,19:00,"[""Thu"", ""Fri"", ""Sat"", ""Sun""]"
29,129,available,08:00,17:00,"[""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri""]"
30,130,available,09:00,15:00,"[""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat""]"
