eventid,time,courtbookingid,status,organizerid
1,2025-11-17 09:00:00,1,upcoming,78
2,2025-11-19 08:00:00,2,upcoming,78
3,2025-11-20 07:00:00,3,upcoming,78
4,2025-11-22 10:00:00,4,upcoming,78
5,2025-11-18 08:30:00,5,upcoming,78
6,2025-11-23 12:00:00,6,upcoming,78
7,2025-11-17 13:00:00,7,upcoming,78
8,2025-11-19 14:00:00,8,upcoming,78
9,2025-11-18 09:00:00,9,upcoming,78
10,2025-11-21 16:00:00,10,upcoming,78
11,2025-11-20 08:30:00,11,upcoming,78
12,2025-11-21 11:00:00,12,upcoming,78
13,2025-11-17 10:00:00,13,upcoming,78
14,2025-11-18 09:00:00,14,upcoming,78
15,2025-11-19 11:30:00,15,upcoming,78
16,2025-11-20 15:00:00,16,upcoming,78
17,2025-11-22 10:30:00,17,upcoming,78
18,2025-11-17 08:00:00,18,upcoming,78
19,2025-11-21 09:00:00,19,upcoming,78
20,2025-11-22 11:00:00,20,upcoming,78
21,2025-11-18 14:00:00,21,upcoming,78
22,2025-11-21 12:00:00,22,upcoming,78
23,2025-11-17 09:00:00,23,upcoming,78
24,2025-11-20 08:30:00,24,upcoming,78
25,2025-11-20 11:00:00,25,upcoming,78
26,2025-11-22 17:00:00,26,upcoming,78
27,2025-11-22 10:00:00,27,upcoming,78
28,2025-11-18 10:00:00,28,upcoming,78
29,2025-11-22 09:30:00,29,upcoming,78
30,2025-11-19 13:00:00,30,upcoming,78
