courtinfoid,courtid,address,latitude,longitude,latitudedelta,longitudedelta,sport,venue,images
1,101,"123 Tran Phu, Hanoi",21.0285,105.8542,0.05,0.05,"{""Football"",""Badminton""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
2,102,"456 Le Loi, Ho Chi Minh City",10.7626,106.6602,0.05,0.05,"{""Football""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
3,103,"789 Vo Nguyen Giap, Da Nang",16.0471,108.2068,0.05,0.05,"{""Badminton"",""TableTennis""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
4,104,"12 Nguyen Hue, Hue",16.4637,107.5909,0.05,0.05,"{""Tennis""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
5,105,"Beachfront, Nha Trang",12.2388,109.1967,0.05,0.05,"{""Volleyball"",""Running""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
6,106,"45 Le Duan, Vinh",18.6714,105.6871,0.05,0.05,"{""Basketball"",""Badminton""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
7,107,"9 Le Loi, Can Tho",10.0452,105.7469,0.05,0.05,"{""Football"",""Volleyball""}","{""Indoor"",""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
8,108,"21 Hung Vuong, Bien Hoa",10.9535,106.8239,0.05,0.05,"{""Pickleball""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
9,109,"Harbor Rd, Ha Long",20.96,107.0447,0.05,0.05,"{""Tennis"",""TableTennis"",""Badminton""}","{""Indoor"",""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
10,110,"Route 14, Pleiku",13.9833,108.0,0.05,0.05,"{""Running""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
11,111,"88 Nguyen An Ninh, Dong Nai",10.9685,106.8231,0.05,0.05,"{""Badminton"",""TableTennis"",""Basketball""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
12,112,"Golf Rd, Kon Tum",14.349,107.9777,0.05,0.05,"{""Golf""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
13,113,"1 Nguyen Trai, Haiphong",20.8449,106.6881,0.05,0.05,"{""Football"",""Tennis""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
14,114,"2 Tran Hung Dao, Quang Ngai",15.1205,108.7922,0.05,0.05,"{""Basketball""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
15,115,"3 Le Loi, Quy Nhon",13.782,109.2191,0.05,0.05,"{""Volleyball""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
16,116,"4 Phan Chu Trinh, Buon Ma Thuot",12.6667,108.0378,0.05,0.05,"{""Badminton""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
17,117,"5 Nguyen Van Cu, Tay Ninh",11.318,106.0983,0.05,0.05,"{""TableTennis""}","{""Indoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
18,118,"6 Tran Phu, Phan Thiet",10.9289,108.1021,0.05,0.05,"{""Running""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
19,119,"7 Le Duan, Cam Ranh",11.9214,109.1597,0.05,0.05,"{""Football""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
20,120,"8 Nguyen Hue, Rach Gia",10.0125,105.0807,0.05,0.05,"{""Volleyball"",""Basketball""}","{""Indoor"",""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
21,121,"9 Tran Hung Dao, My Tho",10.36,106.36,0.05,0.05,"{""Tennis""}","{""Outdoor""}","{""https://via.placeholder.com/100"",""https://via.placeholder.com/100""}"
