paymentid,status,time,method,amount
1,paid,2025-11-17 08:45:00,cash,118.000
2,paid,2025-11-19 07:40:00,vnpay,92.000
3,paid,2025-11-20 06:40:00,cash,101.000
4,paid,2025-11-22 09:20:00,vnpay,75.000
5,paid,2025-11-18 08:15:00,cash,136.000
6,paid,2025-11-23 11:30:00,vnpay,58.000
7,paid,2025-11-17 12:30:00,cash,149.000
8,paid,2025-11-19 13:25:00,vnpay,84.000
9,paid,2025-11-18 08:30:00,cash,67.000
10,paid,2025-11-21 15:05:00,cash,129.000
11,paid,2025-11-20 07:55:00,vnpay,55.000
12,paid,2025-11-21 10:40:00,cash,99.000
13,paid,2025-11-17 09:45:00,vnpay,141.000
14,paid,2025-11-18 08:35:00,cash,61.000
15,paid,2025-11-19 11:10:00,vnpay,112.000
16,paid,2025-11-20 14:20:00,cash,73.000
17,paid,2025-11-22 09:55:00,vnpay,87.000
18,paid,2025-11-17 07:45:00,cash,130.000
19,paid,2025-11-21 08:40:00,vnpay,64.000
20,paid,2025-11-22 10:20:00,cash,151.000
21,paid,2025-11-18 13:30:00,vnpay,95.000
22,paid,2025-11-21 11:35:00,cash,78.000
23,paid,2025-11-17 08:40:00,vnpay,59.000
24,paid,2025-11-20 08:05:00,cash,102.000
25,paid,2025-11-20 10:30:00,vnpay,86.000
26,paid,2025-11-22 16:30:00,cash,68.000
27,paid,2025-11-22 09:40:00,vnpay,122.000
28,paid,2025-11-18 09:30:00,cash,53.000
29,paid,2025-11-22 09:00:00,vnpay,139.000
30,paid,2025-11-19 12:35:00,cash,71.000
