serviceid,courtid,name,category,price,stock,images,status
1,101,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
2,101,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
3,101,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
4,101,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
5,101,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
6,102,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
7,102,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
8,102,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
9,102,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
10,102,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
11,103,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
12,103,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
13,103,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
14,103,"Pocari Sweat",consumable,20000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/zds9hubggmgytaqsgij5.png""]",active
15,103,"Trà đá",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706693/p89rxzf3hyhpfhpepsmu.png""]",active
16,104,"Khăn lạnh",consumable,5000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706691/kae1ibi5ldfpjdcpnqgh.png""]",active
17,104,"Revive",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/gfa8ffjpdk7dpqxf4jc1.png""]",active
18,104,"Revive chanh muối",consumable,15000,100,"[""https://res.cloudinary.com/dg0rerv5b/image/upload/v1772706692/msqrr5c44vbj4aomxbph.png""]",active
