sessionid,courtbookingid,time,status,coachid
1,1,2025-11-17 09:00:00,upcoming,78
2,2,2025-11-19 08:00:00,upcoming,78
3,3,2025-11-20 07:00:00,upcoming,78
4,4,2025-11-22 10:00:00,upcoming,78
5,5,2025-11-18 08:30:00,upcoming,78
6,6,2025-11-23 12:00:00,upcoming,78
7,7,2025-11-17 13:00:00,upcoming,78
8,8,2025-11-19 14:00:00,upcoming,78
9,9,2025-11-18 09:00:00,upcoming,78
10,10,2025-11-21 16:00:00,upcoming,78
11,11,2025-11-20 08:30:00,upcoming,78
12,12,2025-11-21 11:00:00,upcoming,78
13,13,2025-11-17 10:00:00,upcoming,78
14,14,2025-11-18 09:00:00,upcoming,78
15,15,2025-11-19 11:30:00,upcoming,78
16,16,2025-11-20 15:00:00,upcoming,78
17,17,2025-11-22 10:30:00,upcoming,78
18,18,2025-11-17 08:00:00,upcoming,78
19,19,2025-11-21 09:00:00,upcoming,78
20,20,2025-11-22 11:00:00,upcoming,78
21,21,2025-11-18 14:00:00,upcoming,78
22,22,2025-11-21 12:00:00,upcoming,78
23,23,2025-11-17 09:00:00,upcoming,78
24,24,2025-11-20 08:30:00,upcoming,78
25,25,2025-11-20 11:00:00,upcoming,78
26,26,2025-11-22 17:00:00,upcoming,78
27,27,2025-11-22 10:00:00,upcoming,78
28,28,2025-11-18 10:00:00,upcoming,78
29,29,2025-11-22 09:30:00,upcoming,78
30,30,2025-11-19 13:00:00,upcoming,78
