sequence_name,data_type,start_value,minimum_value,maximum_value,increment,cycle_option
courtavailability_availabilityid_seq,integer,1,1,2147483647,1,NO
courtbooking_courtbookingid_seq,integer,1,1,2147483647,1,NO
courtinfo_courtinfoid_seq,integer,1,1,2147483647,1,NO
courts_courtid_seq,integer,1,1,2147483647,1,NO
eventbooking_eventbookingid_seq,integer,1,1,2147483647,1,NO
eventinfo_eventinfoid_seq,integer,1,1,2147483647,1,NO
events_eventid_seq,integer,1,1,2147483647,1,NO
favouritecourts_favouriteid_seq,integer,1,1,2147483647,1,NO
notifications_notificationid_seq,integer,1,1,2147483647,1,NO
payments_paymentid_seq,integer,1,1,2147483647,1,NO
playingcourt_playingcourtid_seq,bigint,1,1,9223372036854775807,1,NO
playingcourtinfo_playingcourtinfoid_seq,bigint,1,1,9223372036854775807,1,NO
review_reactions_reactionid_seq,bigint,1,1,9223372036854775807,1,NO
reviews_reviewid_seq,integer,1,1,2147483647,1,NO
servicebooking_servicebookingid_seq,integer,1,1,2147483647,1,NO
services_serviceid_seq,integer,1,1,2147483647,1,NO
trainingsessioninfo_sessioninfoid_seq,integer,1,1,2147483647,1,NO
trainingsessions_sessionid_seq,integer,1,1,2147483647,1,NO
tsbookings_tsbookingid_seq,integer,1,1,2147483647,1,NO
userinfo_infoid_seq,integer,1,1,2147483647,1,NO
userlogin_loginid_seq,integer,1,1,2147483647,1,NO
users_userid_seq,integer,1,1,2147483647,1,NO
